STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00003184,1998-09,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",3.1,",W",,,339.4,",W",6,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",30,",W",27,",W",,,,,19980930,",,W",,,,,,,19980906,"+,,W",19980902,",,W",16.7,",W,30,",,,,,1.8,",,W,06,+",40.6,",W,02,",,,0,",W",5.7,",,,W",,,29.65,",W",36.13,",,,W",23.16,",,,W",,,130,",W",130,",W",14.3,",W",19.7,",W"
USW00003184,1998-10,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.7,",W",,,131.6,",W",4,",W",3,",W",0,",W",,,,,0,",W",0,",W",0,",W",30,",W",8,",W",,,,,19981031,"+,,W",,,,,,,19981030,",,W",19981012,",,W",9.4,",W,31,+",,,,,13,",,W,30,",36.1,",W,12,",,,7.5,",W",31.7,",,,W",,,22.33,",W",29,",,,W",15.67,",,,W",,,310,",W",30,",W",11.2,",W",13,",W"
USW00003184,1998-11,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.1,",W",,,0.6,",W",4,",W",1,",W",0,",W",,,,,0,",W",0,",W",0,",W",24,",W",0,",W",,,,,19981110,",,W",,,,,,,19981128,",,W",19981126,"+,,W",5.6,",W,10,",,,,,8.1,",,W,28,",27.2,",W,26,+",,,64.7,",W",9.9,",,,W",,,16.2,",W",23.02,",,,W",9.37,",,,W",,,270,",W",290,",W",12.5,",W",17.4,",W"
USW00003184,1998-12,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.2,",W",,,2.8,",W",6,",W",3,",W",0,",W",,,,,0,",W",3,",W",0,",W",8,",W",0,",W",,,,,19981223,",,W",,,,,,,19981202,",,W",19981216,",,W",-1.7,",W,23,",,,,,7.1,",,W,02,",26.1,",W,16,",,,212,",W",19.5,",,,W",,,11.58,",W",17.81,",,,W",5.36,",,,W",,,60,",W",60,",W",13.4,",W",17.9,",W"
USW00003184,1999-01,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.3,",W",0,W,0,",W",1,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",11,",W",0,",W",,,,,19990130,",,W",,,,,,,19990125,",,W",19990114,",,W",2.2,",W,30,",,,,,0.8,",,W,25,",24.4,",W,14,",,,167,",W",0.8,",,,W",,,12.95,",W",19.96,",,,W",5.93,",,,W",,,280,",W",330,",W",13.4,",W",17.9,",W"
USW00003184,1999-02,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.4,",W",0,W,0,",W",3,",W",2,",W",0,",W",,,,,0,",W",0,",W",0,",W",20,",W",0,",W",,,,,19990211,"+,,W",,,,,,,19990204,",,W",19990228,",,W",3.3,",W,11,+",,,,,7.6,",,W,04,",27.2,",W,28,",,,104.1,",W",11.7,",,,W",,,14.61,",W",21.83,",,,W",7.4,",,,W",,,280,",W",280,",W",12.5,",W",15.2,",W"
USW00003184,1999-03,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",2.7,",W",13.8,W,13.8,",W",2,",W",1,",W",0,",W",,,,,0,",W",0,",W",0,",W",25,",W",0,",W",,,,,19990318,"+,,W",,,,,,,19990316,",,W",19990320,",,W",5.6,",W,18,+",,,,,4.3,",,W,16,",30.6,",W,20,",,,58.9,",W",5.3,",,,W",,,16.88,",W",24.05,",,,W",9.7,",,,W",,,250,",W",240,",W",11.6,",W",14.3,",W"
USW00003184,1999-04,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",3.7,",W",69.3,W,55.5,"1,W",5,",W",4,",W",0,",W",,,,,0,"1,W",0,"1,W",0,"1,W",18,"1,W",4,"1,W",,,,,19990402,",1,W",,,,,,,19990402,",,W",19990419,",1,W",2.8,"1,W,02,",,,,,19.8,",,W,02,",34.4,"1,W,19,",,,82.9,"1,W",33,",,,W",,,17.39,"1,W",24,"1,,,W",10.78,"1,,,W",,,260,",W",220,",W",13.4,",W",21.5,",W"
USW00003184,1999-05,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",3.5,",W",276.5,W,207.2,",W",0,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",31,",W",19,",W",,,,,19990501,",,W",,,,,,,19990501,",,W",19990528,",,W",8.3,",W,01,",,,,,0,",T,W,01,",39.4,",W,28,",,,4.2,",W",0,",T,,W",,,24.88,",W",32.33,",,,W",17.44,",,,W",,,240,",W",240,",W",13,",W",17.9,",W"
USW00003184,1999-06,33.69021,-112.06616,453.4,"PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US",3.2,",W",629.7,W,353.2,",W",1,",W",1,",W",0,",W",,,,,0,",W",0,",W",0,",W",30,",W",26,",W",,,,,19990605,",,W",,,,,,,19990602,",,W",19990630,",,W",13.9,",W,05,",,,,,6.1,",,W,02,",42.8,",W,30,",,,0,",W",6.1,",,,W",,,30.11,",W",37.05,",,,W",23.16,",,,W",,,290,",W",270,",W",11.6,",W",17.4,",W"
