STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00093230,1968-05,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,0,",0",,,,,,,,,,,0,",0",23,",0",0,",0",4,",0",0,",0",,,,,19680514,",,0",,,,,,,,,19680527,",,0",-7.8,",0,14,",,,,,,,23.9,",0,27,",,,352.8,",0",,,,,,,,,,,6.95,",0",15.67,",,,0",-1.77,",,,0",,,,,,,,,,
USW00093230,1968-06,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,0,",0",,,,,,,,,,,0,",0",7,",0",0,",0",20,",0",0,",0",,,,,19680630,",,0",,,,,,,,,19680626,",,0",-3.9,",0,30,",,,,,,,28.3,",0,26,",,,189.9,",0",,,,,,,,,,,12,",0",22.16,",,,0",1.84,",,,0",,,,,,,,,,
USW00093230,1968-07,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,,,,,,,,,0,",0",0,",0",,,,,,,,,,,,,,,,,19680731,"+,,0",19680731,"+,,0",,,,,,,,,0,",,0,31,+",0,",,0,31,+",,,,,,,,,,,,,,,,,0,",,,0",,,,,,,,,,,,,,,,
USW00093230,1968-11,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,0,"2,0",,,,,,,,,,,0,"2,0",26,"2,0",1,"2,0",0,"2,0",0,"2,0",,,,,19681128,",2,0",,,,,,,,,19681111,"+,2,0",-13.3,"2,0,28,",,,,,,,15.6,"2,0,11,+",,,468.2,"2,0",,,,,,,,,,,1.61,"2,0",8.14,"2,,,0",-4.91,"2,,,0",,,,,,,,,,
USW00093230,1968-12,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,0,"2,0",,,,,,,,,,,6,",0",31,",0",9,"2,0",0,"2,0",0,"2,0",,,,,19681222,",,0",,,,,,,,,19681207,",2,0",-23.3,",0,22,",,,,,,,10.6,"2,0,07,",,,664.2,"2,0",,,,,,,,,,,-4.22,"2,0",2.69,"2,,,0",-11.14,",,,0",,,,,,,,,,
USW00093230,1969-01,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,2,",0",26,",0",7,",0",0,",0",0,",0",,,,,19690131,",,0",,,,,,,,,19690107,",,0",-26.7,",0,31,",,,,,,,10.6,",0,07,",,,635.4,",0",,,,,,,,,,,-2.16,",0",2.82,",,,0",-7.15,",,,0",,,,,,,,,,
USW00093230,1969-02,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,9,",0",28,",0",14,",0",0,",0",0,",0",,,,,19690203,",,0",,,,,,,,,19690210,",,0",-24.4,",0,03,",,,,,,,7.8,",0,10,",,,666.6,",0",,,,,,,,,,,-5.47,",0",0.66,",,,0",-11.6,",,,0",,,,,,,,,,
USW00093230,1969-03,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,5,",0",29,",0",9,",0",0,",0",0,",0",,,,,19690311,"+,,0",,,,,,,,,19690328,",,0",-21.7,",0,11,+",,,,,,,16.7,",0,28,",,,652.8,",0",,,,,,,,,,,-2.72,",0",5.09,",,,0",-10.54,",,,0",,,,,,,,,,
USW00093230,1969-04,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,"1,0",,,,,,,,,,,0,"1,0",28,"1,0",0,"1,0",0,"1,0",0,"1,0",,,,,19690407,",1,0",,,,,,,,,19690421,",1,0",-12.2,"1,0,07,",,,,,,,18.9,"1,0,21,",,,450.8,"1,0",,,,,,,,,,,2.79,"1,0",9.83,"1,,,0",-4.25,"1,,,0",,,,,,,,,,
USW00093230,1969-05,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,"2,0",,,,,,,,,,,0,"1,0",10,"1,0",0,"1,0",10,"1,0",0,"1,0",,,,,19690503,",1,0",,,,,,,,,19690523,",1,0",-2.8,"1,0,03,",,,,,,,22.8,"1,0,23,",,,236.9,"1,0",,,,,,,,,,,10.13,"2,0",18.5,"1,,,0",1.76,"1,,,0",,,,,,,,,,
USW00093230,1969-06,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,0,",0",2,",0",0,",0",9,",0",0,",0",,,,,19690628,",,0",,,,,,,,,19690603,",,0",-2.2,",0,28,",,,,,,,26.7,",0,03,",,,197.4,",0",,,,,,,,,,,11.75,",0",19.11,",,,0",4.39,",,,0",,,,,,,,,,
USW00093230,1969-07,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,2.8,",0",,,,,,,,,,,0,",0",0,",0",0,",0",30,",0",0,",0",,,,,19690705,",,0",,,,,,,,,19690723,",,0",1.1,",0,05,",,,,,,,30,",0,23,",84.5,0,84.5,",0",,,,,,,,,,,15.7,",0",25.36,",,,0",6.03,",,,0",,,,,,,,,,
USW00093230,1969-08,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,0,",0",,,,,,,,,,,0,",0",10,",0",0,",0",30,",0",0,",0",,,,,19690827,",,0",,,,,,,,,19690802,",,0",-2.2,",0,27,",,,,,,,29.4,",0,02,",207,0,122.5,",0",,,,,,,,,,,14.38,",0",26.31,",,,0",2.45,",,,0",,,,,,,,,,
USW00093230,1969-09,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,0,",0",,,,,,,,,,,0,",0",10,",0",0,",0",19,",0",0,",0",,,,,19690921,",,0",,,,,,,,,19690902,",,0",-3.9,",0,21,",,,,,,,27.8,",0,02,",403,0,196,",0",,,,,,,,,,,11.8,",0",21.76,",,,0",1.84,",,,0",,,,,,,,,,
USW00093230,1969-10,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,0,"2,0",,,,,,,,,,,0,",0",28,",0",0,"2,0",1,"2,0",0,"2,0",,,,,19691012,",,0",,,,,,,,,19691001,",2,0",-10,",0,12,",,,,,,,22.2,"2,0,01,",807.8,0,404.8,"2,0",,,,,,,,,,,4.39,"2,0",11.89,"2,,,0",-3.1,",,,0",,,,,,,,,,
USW00093230,1969-11,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,0,",0",,,,,,,,,,,0,",0",28,",0",0,",0",0,",0",0,",0",,,,,19691128,",,0",,,,,,,,,19691103,",,0",-11.1,",0,28,",,,,,,,16.1,",0,03,",1301.9,0,494.1,",0",,,,,,,,,,,1.86,",0",9.47,",,,0",-5.74,",,,0",,,,,,,,,,
USW00093230,1969-12,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,2.8,0,0,",0",,,,,,,,,,,0,",0",26,",0",4,",0",0,",0",0,",0",,,,,19691228,",,0",,,,,,,,,19691213,",,0",-15,",0,28,",,,,,,,11.7,",0,13,",1885.1,0,583.2,",0",,,,,,,,,,,-0.48,",0",5.37,",,,0",-6.33,",,,0",,,,,,,,,,
USW00093230,1970-01,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,"4,0",,,,,,,,,,,0,"4,0",23,"4,0",2,",0",0,",0",0,",0",,,,,19700105,",4,0",,,,,,,,,19700123,"+,,0",-16.7,"4,0,05,",,,,,,,7.2,",0,23,+",2391.3,0,506.2,",0",,,,,,,,,,,-0.47,"4,0",3.5,",,,0",-4.44,"4,,,0",,,,,,,,,,
USW00093230,1970-02,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,"2,0",,,,,,,,,,,0,"1,0",26,"1,0",2,"1,0",0,"1,0",0,"1,0",,,,,19700218,",1,0",,,,,,,,,19700209,"+,1,0",-16.7,"1,0,18,",,,,,,,10,"1,0,09,+",2872.4,0,481.1,"1,0",,,,,,,,,,,0,"2,0",5.89,"1,,,0",-5.89,"1,,,0",,,,,,,,,,
USW00093230,1970-03,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,0,",0",31,",0",1,",0",0,",0",0,",0",,,,,19700303,",,0",,,,,,,,,19700324,",,0",-16.7,",0,03,",,,,,,,14.4,",0,24,",3427.3,0,554.9,",0",,,,,,,,,,,0.43,",0",7.34,",,,0",-6.47,",,,0",,,,,,,,,,
USW00093230,1970-04,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,0,",0",29,",0",2,",0",0,",0",0,",0",,,,,19700428,",,0",,,,,,,,,19700409,"+,,0",-13.9,",0,28,",,,,,,,15.6,",0,09,+",3946.1,0,518.8,",0",,,,,,,,,,,1.04,",0",8.15,",,,0",-6.07,",,,0",,,,,,,,,,
USW00093230,1970-05,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,0,0,0,",0",,,,,,,,,,,0,",0",21,",0",0,",0",3,",0",0,",0",,,,,19700511,"+,,0",,,,,,,,,19700517,"+,,0",-3.9,",0,11,+",,,,,,,23.3,",0,17,+",4261.4,0,315.3,",0",,,,,,,,,,,8.16,",0",16.86,",,,0",-0.53,",,,0",,,,,,,,,,
USW00093230,1970-07,38.89838,-119.99617,1907,"SOUTH LAKE TAHOE AIRPORT, CA US",,,,,,,,,,,,,8.1,",0",,,,,,,,,,,0,",0",0,",0",0,",0",31,",0",0,",0",,,,,19700701,",,0",,,,,,,,,19700719,",,0",2.8,",0,01,",,,,,,,30,",0,19,",53.6,0,53.6,",0",,,,,,,,,,,16.86,",0",26.43,",,,0",7.3,",,,0",,,,,,,,,,
