STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00023213,1998-07,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,2.4,",W",,,60.5,",W",1,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",29,",W",7,",W",,,,,19980701,",,W",,,,,,,19980701,",,W",19980718,",,W",7.2,",W,01,",,,,,0.3,",,W,01,",40,",W,18,",8.9,,8.9,",W",0.3,",,,W",,,,,,,,,20,",W",28.71,",,,W",11.28,",,,W",,,160,",W",320,",W",7.6,",W",8.9,",W"
USW00023213,1998-08,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,2.2,",W",,,89.7,",W",0,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",31,",W",14,",W",,,,,19980827,",,W",,,,,,,19980807,",,W",19980803,",,W",7.8,",W,27,",,,,,0,",T,W,07,",41.1,",W,03,",11.4,,2.5,",W",0,",T,,W",,,,,,,,,21.15,",W",31.4,",,,W",10.89,",,,W",,,160,",W",160,",W",8,",W",8.9,",W"
USW00023213,1998-09,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,2,",W",,,51.1,",W",2,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",25,",W",8,",W",,,,,19980926,"+,,W",,,,,,,19980927,",,W",19980902,",,W",8.3,",W,26,+",,,,,2,",,W,27,",36.1,",W,02,",42.6,,31.2,",W",2.5,",,,W",,,,,,,,,19,",W",26.89,",,,W",11.1,",,,W",,,30,",W",30,",W",9.8,",W",11.6,",W"
USW00023213,1998-10,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,1.9,",W",,,3,"1,W",6,",W",1,",W",1,",W",,,,,0,"1,W",0,"1,W",0,"1,W",22,"1,W",1,"1,W",,,,,19981030,",1,W",,,,,,,19981024,",,W",19981020,",1,W",2.2,"1,W,30,",,,,,27.2,",,W,24,",32.2,"1,W,20,",147.1,,104.5,"1,W",30.9,",,,W",,,,,,,,,14.95,"1,W",23.81,"1,,,W",6.09,"1,,,W",,,20,",W",20,",W",10.3,",W",13.4,",W"
USW00023213,1998-11,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,1.8,",W",,,0,",W",20,",W",11,",W",3,",W",,,,,0,",W",0,",W",0,",W",0,",W",0,",W",,,,,19981120,",,W",,,,,,,19981123,",,W",19981102,"+,,W",0.6,",W,20,",,,,,43.7,",,W,23,",19.4,",W,02,+",374.5,,227.4,",W",161.8,",,,W",,,,,,,,,10.75,",W",16.15,",,,W",5.35,",,,W",,,230,",W",190,",W",13.9,",W",17,",W"
USW00023213,1998-12,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,1.6,",W",,,0,"2,W",9,",W",5,",W",0,",W",,,,,0,"2,W",12,"2,W",0,"2,W",0,"2,W",0,"2,W",,,,,19981223,"+,2,W",,,,,,,19981205,",,W",19981215,",2,W",-6.1,"2,W,23,+",,,,,11.7,",,W,05,",20.6,"2,W,15,",712,,337.5,"2,W",34.3,",,,W",,,,,,,,,6.69,"2,W",13.23,"2,,,W",0.16,"2,,,W",,,280,",W",270,",W",12.5,",W",16.5,",W"
USW00023213,1999-01,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,1.6,",W",0,W,0,",W",14,",W",8,",W",1,",W",,,,,0,",W",17,",W",0,",W",0,",W",0,",W",,,,,19990105,",,W",,,,,,,19990119,",,W",19990101,",,W",-3.3,",W,05,",,,,,28.2,",,W,19,",16.7,",W,01,",1047.8,W,335.8,",W",104.2,",,,W",,,,,,,,,7.5,",W",13.41,",,,W",1.59,",,,W",,,20,",W",10,",W",10.7,",W",13,",W"
USW00023213,1999-02,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,1.9,",W",0,W,0,",W",15,",W",12,",W",4,",W",,,,,0,",W",7,",W",0,",W",0,",W",0,",W",,,,,19990211,",,W",,,,,,,19990206,",,W",19990219,",,W",-2.2,",W,11,",,,,,65.5,",,W,06,",18.3,",W,19,",1326.7,W,278.9,",W",274.2,",,,W",,,,,,,,,8.37,",W",13.69,",,,W",3.06,",,,W",,,190,",W",180,",W",14.8,",W",20.1,",W"
USW00023213,1999-03,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,2.3,",W",0,W,0,",W",14,",W",9,",W",2,",W",,,,,0,",W",3,",W",0,",W",0,",W",0,",W",,,,,19990331,"+,,W",,,,,,,19990324,",,W",19990326,",,W",-0.6,",W,31,+",,,,,48.8,",,W,24,",19.4,",W,26,",1606.8,W,280.1,",W",117.5,",,,W",,,,,,,,,9.3,",W",14.85,",,,W",3.74,",,,W",,,180,",W",190,",W",10.3,",W",13,",W"
USW00023213,1999-04,38.50369,-122.81101,36.2,"SANTA ROSA SONOMA CO AIRPORT, CA US",,,,,,,,,3.2,",W",1.8,W,1.8,",W",8,",W",4,",W",0,",W",,,,,0,",W",2,",W",0,",W",14,",W",0,",W",,,,,19990409,"+,,W",,,,,,,19990408,",,W",19990414,",,W",-0.6,",W,09,+",,,,,13.7,",,W,08,",30.6,",W,14,",1771.8,W,165,",W",55.2,",,,W",,,,,,,,,12.89,",W",20.16,",,,W",5.62,",,,W",,,320,",W",350,",W",16.5,",W",20.1,",W"
