STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00351574,1980-08,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",0,",0",2,",0",0,",0",26,",0",0,",0",,,19800830,",,0",19800831,"+,,0",19800831,"+,,0",,,19800831,"+,,0",19800826,",,0",-1.1,",0,30,",0,",,0,31,+",0,",,0,31,+",0,",,0,31,+",31.1,",0,26,",,,120.5,",0",0,",,,0",0,",,,0",14.45,",0",25.36,",,,0",3.53,",,,0"
USC00351574,1980-09,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,0,",0",5,",0",1,",0",0,",0",0,",0",0,",0",0,",0",5,",0",0,",0",22,",0",0,",0",,,19800929,"+,,0",19800930,"+,,0",19800930,"+,,0",3,,19800918,",,0",19800906,"+,,0",-0.6,",0,29,+",0,",,0,30,+",0,",,0,30,+",9.1,",,0,18,",27.8,",0,06,+",,,177,",0",11,",,,0",0,",,,0",12.43,",0",22.57,",,,0",2.29,",,,0"
USC00351574,1980-10,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,0,"1,0",5,",0",3,",0",0,",0",0,",0",0,",0",0,"1,0",18,"1,0",0,",0",9,",0",0,",0",,,19801018,"+,1,0",19801031,"+,,0",19801031,"+,,0",,,19801012,",,0",19801006,",,0",-6.1,"1,0,18,+",0,",,0,31,+",0,",,0,31,+",12.4,",,0,12,",28.3,",0,06,",,,305.8,",0",23.9,",,,0",0,",,,0",8.01,"1,0",17.09,",,,0",-1.07,"1,,,0"
USC00351574,1980-11,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,0,",0",8,",0",5,",0",1,",0",1,",0",0,",0",0,",0",22,",0",0,",0",0,",0",0,",0",,,19801116,"+,,0",19801130,",,0",19801130,",,0",,,19801122,",,0",19801105,",,0",-7.8,",0,16,+",25,",,0,30,",18,",,0,30,",25.4,",,0,22,",18.3,",0,05,",,,460.4,",0",62.7,",,,0",18,",,,0",2.99,",0",8.98,",,,0",-3.01,",,,0"
USC00351574,1980-12,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",,,0,"1,0",15,",0",9,",0",1,",0",3,",0",4,",0",0,"1,0",25,"1,0",7,",0",0,",0",0,",0",,,19801214,"+,1,0",19801202,",,0",19801202,",,0",,,19801202,",,0",19801226,",,0",-15,"1,0,14,+",102,",,0,02,",102,",,0,02,",30.5,",,0,02,",10,",0,26,",,,593.6,",0",94.1,",,,0",301,",,,0",-1.44,"1,0",3.11,",,,0",-5.99,"1,,,0"
USC00351574,1981-01,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",7,",0",4,",0",0,",0",6,",0",4,",0",0,",0",26,",0",2,",0",0,",0",0,",0",,,19810131,",,0",19810129,",,0",19810127,",,0",,,19810127,",,0",19810122,",,0",-12.8,",0,31,",203,",,0,29,",102,",,0,27,",15.2,",,0,27,",13.3,",0,22,",,,534.2,",0",46.7,",,,0",234,",,,0",1.1,",0",5.7,",,,0",-3.5,",,,0"
USC00351574,1981-02,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",8,",0",6,",0",0,",0",3,",0",3,",0",0,",0",27,",0",1,",0",0,",0",0,",0",,,19810204,"+,,0",19810211,",,0",19810211,",,0",,,19810214,",,0",19810224,",,0",-12.8,",0,04,+",76,",,0,11,",76,",,0,11,",17.8,",,0,14,",13.3,",0,24,",,,503.3,",0",42.9,",,,0",178,",,,0",0.36,",0",5.9,",,,0",-5.18,",,,0"
USC00351574,1981-03,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",11,",0",7,",0",0,",0",0,",0",2,",0",0,",0",30,",0",0,",0",0,",0",0,",0",,,19810317,",,0",19810319,"+,,0",19810330,"+,,0",,,19810325,",,0",19810329,",,0",-7.8,",0,17,",0,",T,0,19,+",25,",,0,30,+",10.4,",,0,25,",15.6,",0,29,",,,457.5,",0",46.9,",,,0",50,",,,0",3.58,",0",9.93,",,,0",-2.78,",,,0"
USC00351574,1981-04,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,",0",6,",0",4,",0",0,",0",0,",0",0,",0",0,",0",20,",0",0,",0",6,",0",0,",0",,,19810410,",,0",19810430,"+,,0",19810430,"+,,0",,,19810420,",,0",19810424,",,0",-7.8,",0,10,",0,",,0,30,+",0,",,0,30,+",5.1,",,0,20,",25,",0,24,",,,373.4,",0",16.3,",,,0",0,",,,0",5.89,",0",13.55,",,,0",-1.78,",,,0"
USC00351574,1981-05,42.70384,-121.99548,1275.3,"CHILOQUIN 12 NW FORT KLAMATH, OR US",0,0,0,"2,0",7,",0",6,",0",0,",0",0,",0",0,",0",0,"2,0",15,"2,0",0,",0",6,",0",0,",0",,,19810507,",2,0",19810531,"+,,0",19810506,",,0",,,19810518,",,0",19810529,",,0",-5.6,"2,0,07,",0,",,0,31,+",0,",T,0,06,",24.1,",,0,18,",26.7,",0,29,",,,278.6,",0",58.6,",,,0",0,",T,,0",8.7,"2,0",16.92,",,,0",0.48,"2,,,0"
