STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00004113,1998-04,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.2,",W",,,0.8,",W",5,",W",1,",W",0,",W",,,,,0,",W",9,",W",0,",W",8,",W",1,",W",,,,,19980408,",,W",,,,,,,19980423,",,W",19980430,",,W",-3.3,",W,08,",,,,,3.3,",,W,23,",32.2,",W,30,",,,239.6,",W",7.9,",,,W",,,10.37,",W",18.71,",,,W",2.04,",,,W",,,240,",W",230,",W",18.3,",W",21.9,",W"
USW00004113,1998-05,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",4.5,",W",,,12.7,",W",8,",W",4,",W",0,",W",,,,,0,",W",0,",W",0,",W",16,",W",0,",W",,,,,19980516,",,W",,,,,,,19980524,",,W",19980501,",,W",1.7,",W,16,",,,,,7.9,",,W,24,",30,",W,01,",,,122.8,",W",26.6,",,,W",,,14.78,",W",21.46,",,,W",8.1,",,,W",,,230,",W",250,",W",13.9,",W",17,",W"
USW00004113,1998-06,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",4.3,",W",,,39.5,",W",6,",W",2,",W",0,",W",,,,,0,",W",0,",W",0,",W",30,",W",2,",W",,,,,19980604,",,W",,,,,,,19980622,",,W",19980630,",,W",5,",W,04,",,,,,7.9,",,W,22,",36.7,",W,30,",,,9.5,",W",15.3,",,,W",,,19.33,",W",27.81,",,,W",10.86,",,,W",,,250,",W",240,",W",15.2,",W",20.6,",W"
USW00004113,1998-07,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.5,",W",,,227.6,",W",1,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",31,",W",23,",W",,,,,19980721,",,W",,,,,,,19980703,",,W",19980727,",,W",9.4,",W,21,",,,,,1,",,W,03,",42.8,",W,27,",0,W,0,",W",1,",,,W",,,25.68,",W",34.93,",,,W",16.42,",,,W",,,210,",W",230,",W",13.4,",W",18.3,",W"
USW00004113,1998-08,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.3,",W",,,156.1,",W",0,",W",0,",W",0,",W",,,,,0,",W",0,",W",0,",W",31,",W",19,",W",,,,,19980818,"+,,W",,,,,,,19980823,"+,,W",19980804,",,W",6.7,",W,18,+",,,,,0,",T,W,23,+",43.3,",W,04,",4.1,W,4.1,",W",0,",T,,W",,,23.24,",W",33.34,",,,W",13.14,",,,W",,,260,",W",260,",W",13.9,",W",17,",W"
USW00004113,1998-09,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",2.6,",W",,,60.6,",W",3,",W",1,",W",0,",W",,,,,0,",W",0,",W",0,",W",28,",W",9,",W",,,,,19980927,",,W",,,,,,,19980918,",,W",19980901,",,W",4.4,",W,27,",,,,,5.6,",,W,18,",37.2,",W,01,",32.3,W,28.2,",W",6.9,",,,W",,,19.42,",W",28.58,",,,W",10.25,",,,W",,,250,",W",250,",W",13,",W",16.5,",W"
USW00004113,1998-10,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",,,,,,,3,"1,W",1,"1,W",0,"1,W",,,,,,,,,,,,,,,,,,,,,,,,,,,19981031,",1,W",,,,,,,,,4.1,"1,,W,31,",,,,,,,5.9,"1,,,W",,,,,,,,,,,,,240,",W",,,14.8,",W"
USW00004113,1998-11,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.1,",W",,,0,",W",14,",W",5,",W",0,",W",,,,,0,",W",9,",W",0,",W",0,",W",0,",W",,,,,19981107,",,W",,,,,,,19981108,",,W",19981125,",,W",-3.3,",W,07,",,,,,12.7,",,W,08,",20.6,",W,25,",,,322.1,",W",52.4,",,,W",,,7.6,",W",12.34,",,,W",2.85,",,,W",,,230,",W",240,",W",14.8,",W",17.4,",W"
USW00004113,1998-12,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.4,",W",,,0,",W",4,",W",2,",W",0,",W",,,,,4,",W",20,",W",6,",W",0,",W",0,",W",,,,,19981223,"+,,W",,,,,,,19981230,",,W",19981213,",,W",-19.4,",W,23,+",,,,,7.1,",,W,30,",16.7,",W,13,",,,509.1,",W",15.8,",,,W",,,1.91,",W",7.15,",,,W",-3.33,",,,W",,,230,",W",230,",W",16.5,",W",21.9,",W"
USW00004113,1999-01,45.8259,-119.26121,195.1,"HERMISTON MUNICIPAL AIRPORT, OR US",3.1,",W",0,W,0,",W",0,",W",0,",W",0,",W",,,,,0,",W",16,",W",2,",W",0,",W",0,",W",,,,,19990103,",,W",,,,,,,19990123,"+,,W",19990114,",,W",-8.9,",W,03,",,,,,0,",T,W,23,+",17.2,",W,14,",,,426.4,",W",0,",T,,W",,,4.58,",W",9.29,",,,W",-0.14,",,,W",,,240,",W",220,",W",14.3,",W",17.9,",W"
